Price,Close,High,Low,Open,Volume
Ticker,ES=F,ES=F,ES=F,ES=F,ES=F
Date,,,,,
2023-05-19,4204.75,4227.25,4191.5,4215.5,1713351
2023-05-22,4205.0,4221.75,4186.5,4189.0,1302845
2023-05-23,4158.75,4222.75,4153.0,4207.5,1685056
2023-05-24,4126.0,4166.25,4114.0,4158.0,1911903
2023-05-25,4159.75,4175.5,4131.5,4157.0,1966626
2023-05-26,4213.25,4221.25,4146.0,4157.0,1744425
2023-05-30,4215.0,4243.25,4200.0,4239.75,1957579
2023-05-31,4190.5,4217.75,4174.0,4213.0,2138566
2023-06-01,4228.0,4239.75,4178.0,4188.5,1868363
2023-06-02,4288.0,4297.75,4229.0,4231.75,1955603
2023-06-05,4281.0,4305.75,4273.0,4288.0,1668759
2023-06-06,4289.75,4294.75,4268.5,4279.75,1548125
2023-06-07,4274.25,4304.75,4269.25,4292.25,1925195
2023-06-08,4298.25,4302.5,4262.75,4273.25,1664333
2023-06-09,4304.75,4325.5,4284.0,4297.75,2176645
2023-06-12,4342.75,4346.5,4305.25,4306.5,1665175
2023-06-13,4371.75,4377.75,4335.75,4345.0,1317118
2023-06-14,4374.25,4394.75,4339.75,4372.0,758316
2023-06-15,4426.5,4441.0,4350.0,4378.75,486414
2023-06-16,4453.35009765625,4453.35009765625,4415.25,4424.75,1895105
2023-06-20,4434.75,4462.0,4410.5,4458.0,1540416
2023-06-21,4409.25,4438.5,4403.5,4430.25,1468258
2023-06-22,4423.75,4427.0,4393.0,4410.0,1384002
2023-06-23,4389.0,4426.25,4381.5,4425.75,1550992
2023-06-26,4370.25,4403.0,4368.5,4390.0,1622416
2023-06-27,4418.75,4424.75,4371.5,4375.75,1512256
2023-06-28,4417.5,4430.25,4399.25,4414.0,1689461
2023-06-29,4435.75,4438.0,4409.75,4423.75,1628750
2023-06-30,4488.25,4498.0,4433.0,4435.25,1774940
2023-07-03,4492.25,4494.0,4479.5,4485.5,641289
2023-07-05,4483.75,4493.75,4466.25,4492.0,1193759
2023-07-06,4447.0,4483.5,4419.5,4481.75,1741520
2023-07-07,4434.0,4476.0,4431.5,4441.25,1691644
2023-07-10,4444.25,4448.25,4411.25,4437.5,1361155
2023-07-11,4473.5,4478.5,4439.0,4445.75,1340232
2023-07-12,4507.5,4523.75,4470.0,4471.0,1784296
2023-07-13,4543.5,4551.5,4509.25,4510.5,1158193
2023-07-14,4536.75,4560.5,4531.0,4539.5,1381069
2023-07-17,4553.75,4565.75,4528.0,4536.0,1057965
2023-07-18,4587.75,4594.5,4544.75,4550.25,1301460
2023-07-19,4597.0,4609.25,4582.25,4582.75,1538747
2023-07-20,4565.5,4594.25,4557.25,4593.25,1527727
2023-07-21,4564.75,4590.0,4561.75,4566.25,1432643
2023-07-24,4583.5,4592.5,4560.0,4564.25,1203661
2023-07-25,4596.0,4608.75,4579.25,4584.5,1219737
2023-07-26,4595.25,4610.75,4573.75,4604.75,1372426
2023-07-27,4564.25,4634.5,4553.75,4594.75,1924565
2023-07-28,4606.5,4616.5,4558.0,4566.0,1573973
2023-07-31,4614.5,4619.25,4595.25,4608.75,1299434
2023-08-01,4601.25,4621.75,4591.0,4617.75,1212261
2023-08-02,4537.25,4593.5,4527.75,4580.0,1917865
2023-08-03,4521.75,4547.5,4505.75,4534.25,1764076
2023-08-04,4498.0,4560.75,4493.75,4523.5,2044936
2023-08-07,4537.75,4541.75,4500.5,4500.5,1397301
2023-08-08,4518.5,4541.0,4482.0,4539.5,1696546
2023-08-09,4485.75,4536.25,4478.25,4516.5,1640285
2023-08-10,4485.75,4544.75,4473.5,4493.25,2227022
2023-08-11,4480.75,4496.25,4459.0,4487.75,1511048
2023-08-14,4506.0,4507.75,4465.0,4485.0,1277132
2023-08-15,4454.0,4517.75,4447.0,4505.75,1492516
2023-08-16,4420.0,4467.25,4417.0,4453.25,1499218
2023-08-17,4384.5,4436.75,4377.75,4420.5,1630481
2023-08-18,4382.75,4396.0,4350.0,4379.25,1746289
2023-08-21,4412.5,4421.0,4372.25,4382.5,1361470
2023-08-22,4399.25,4440.0,4394.25,4410.25,1375651
2023-08-23,4447.0,4476.25,4399.5,4400.0,1306640
2023-08-24,4386.0,4485.5,4378.5,4470.5,1783795
2023-08-25,4414.25,4429.0,4365.25,4384.5,1853335
2023-08-28,4442.25,4449.5,4414.5,4418.0,1266414
2023-08-29,4506.75,4509.5,4433.5,4444.0,1444714
2023-08-30,4524.25,4530.75,4496.25,4508.75,1397669
2023-08-31,4516.0,4541.25,4512.75,4527.0,1395751
2023-09-01,4521.5,4547.75,4507.25,4516.75,1416762
2023-09-05,4502.5,4531.25,4499.25,4521.25,1391805
2023-09-06,4471.5,4503.75,4447.0,4500.0,1600128
2023-09-07,4456.25,4471.75,4434.25,4469.5,1602226
2023-09-08,4461.75,4477.5,4443.0,4458.25,1686158
